~~ Start logging ~~
2025-01-16 23:30:42.135 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:30:42.136 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.13.0\n0-computer.sendme.installer.yaml
2025-01-16 23:30:42.137 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.13.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:30:42.138 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:30:42.139 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:30:42.141 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.13.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:30:42.141 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.13.0\n0-computer.sendme.yaml
2025-01-16 23:30:42.158 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:30:42.158 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:30:42.160 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.13.0\n0-computer.sendme.yaml
2025-01-16 23:30:42.162 INFO   Create a new locale manifest file: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.13.0\n0-computer.sendme.locale.zh-CN.yaml
2025-01-16 23:30:42.164 INFO     New locale manifest file created: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.13.0\n0-computer.sendme.locale.zh-CN.yaml
2025-01-16 23:30:42.164 INFO   Staging and Committing Changes to Git
2025-01-16 23:30:47.519 INFO     Commit message: Modify: Zype.Compass version 0.13.0 (Auto)
2025-01-16 23:30:47.519 INFO   Pushing changes to remote (origin) repository
2025-01-16 23:30:57.817 INFO     Successfully pushed to remote (origin): Modify-n0-computer.sendme-0.13.0
2025-01-16 23:31:00.106 INFO     Pull request created successfully: https://github.com/microsoft/winget-pkgs/pull/212801
2025-01-16 23:31:00.106 INFO Processing version folder: 0.14.0
2025-01-16 23:31:00.106 INFO   Create and checkout to a new branch: Modify-n0-computer.sendme-0.14.0
2025-01-16 23:31:05.606 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.14.0\n0-computer.sendme.installer.yaml
2025-01-16 23:31:05.627 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:31:05.628 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:31:05.630 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.14.0\n0-computer.sendme.installer.yaml
2025-01-16 23:31:05.631 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.14.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:31:05.631 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:31:05.631 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
