~~ Start logging ~~
2025-03-01 12:46:32.759 FUN There are nothing.
2025-03-01 12:47:27.808 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:47:27.808 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:47:27.808 INFO     Replace DefaultLocale: en-US -> zh-CN
2025-03-01 12:47:27.808 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.1.1.4602\ByteDance.JianyingPro.yaml
2025-03-01 12:47:27.808 INFO   Create a new locale manifest file: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.1.1.4602\ByteDance.JianyingPro.locale.zh-TW.yaml
2025-03-01 12:47:27.808 INFO     New locale manifest file created: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.1.1.4602\ByteDance.JianyingPro.locale.zh-TW.yaml
2025-03-01 12:47:28.267 INFO     清单验证成功。
2025-03-01 12:47:28.423 INFO   Staging and Committing Changes to Git
2025-03-01 12:47:31.576 INFO     Commit message: Modify: ByteDance.JianyingPro version 2.1.1.4602 (Auto)
2025-03-01 12:47:31.576 INFO   Pushing changes to remote (origin) repository
2025-03-01 12:47:35.182 INFO     Successfully FORCE pushed to remote (origin): Modify-ByteDance.JianyingPro-2.1.1.4602
2025-03-01 12:47:35.198 INFO Processing version folder: 2.2.0.4707
2025-03-01 12:47:35.198 INFO   Create and checkout to a new branch: Modify-ByteDance.JianyingPro-2.2.0.4707
2025-03-01 12:47:41.874 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.2.0.4707\ByteDance.JianyingPro.installer.yaml
2025-03-01 12:47:41.874 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:47:41.874 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:47:41.874 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.2.0.4707\ByteDance.JianyingPro.installer.yaml
2025-03-01 12:47:41.890 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.2.0.4707\ByteDance.JianyingPro.locale.en-US.yaml
2025-03-01 12:47:41.890 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:47:41.890 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:47:41.890 INFO     Replace defaultLocale -> locale
2025-03-01 12:47:41.890 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.2.0.4707\ByteDance.JianyingPro.locale.en-US.yaml
2025-03-01 12:47:41.890 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.2.0.4707\ByteDance.JianyingPro.locale.zh-CN.yaml
2025-03-01 12:47:41.890 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:47:41.890 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:47:41.890 INFO     Replace ManifestType: locale -> defaultLocale
2025-03-01 12:47:41.890 INFO     Replace winget-manifest.locale -> winget-manifest.defaultLocale
2025-03-01 12:47:41.890 INFO     Replace # Moniker: -> Moniker: 剪映
2025-03-01 12:47:41.890 INFO     Replace Shenzhen Lianmeng Technology Co., Ltd. -> 深圳市脸萌科技有限公司
2025-03-01 12:47:41.890 INFO     Replace Shenzhen Lianmeng Technology -> 深圳市脸萌科技有限公司
2025-03-01 12:47:41.890 WHY     The company name comes from the bottom of the PackageUrl and its filing information (screenshot: https://github.com/user-attachments/assets/37a0f060-eee9-45df-a555-6b4783aed53d).
2025-03-01 12:47:41.890 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.2.0.4707\ByteDance.JianyingPro.locale.zh-CN.yaml
2025-03-01 12:47:41.890 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.2.0.4707\ByteDance.JianyingPro.yaml
2025-03-01 12:47:41.906 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:47:41.906 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:47:41.906 INFO     Replace DefaultLocale: en-US -> zh-CN
2025-03-01 12:47:41.906 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.2.0.4707\ByteDance.JianyingPro.yaml
2025-03-01 12:47:41.906 INFO   Create a new locale manifest file: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.2.0.4707\ByteDance.JianyingPro.locale.zh-TW.yaml
2025-03-01 12:47:41.906 INFO     New locale manifest file created: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.2.0.4707\ByteDance.JianyingPro.locale.zh-TW.yaml
2025-03-01 12:47:42.108 INFO     清单验证成功。
2025-03-01 12:47:42.117 INFO   Staging and Committing Changes to Git
